bands,importance
band_184,0.0248502797903238
band_94,0.0236226168426638
band_35,0.0231494951403474
band_64,0.0224306871876571
band_118,0.0221059298190708
band_47,0.0213472784456725
band_22,0.0206847247721694
band_34,0.0199933350107262
band_95,0.0184228695899994
band_28,0.0183539064650467
band_106,0.0182586880532023
band_141,0.0168838924891188
band_190,0.0168041532799463
band_58,0.0156297096700521
band_76,0.0153455630867998
band_41,0.0143547646595608
band_70,0.0133800440266018
band_148,0.0132915138395279
band_65,0.0131806608815884
band_112,0.0119123851707048
band_209,0.0113695055063341
band_172,0.0111668466440679
band_82,0.0109499959957542
band_214,0.0107740632030596
band_178,0.010738068219212
band_207,0.0104974758219109
band_119,0.0102535105314215
band_16,0.010078843465135
